sequence_id,distance_to_A,distance_to_B,distance_to_C,x,y,residual_A,residual_B,residual_C,mean_residual
MOUSE_GPX6_level19_chainA,0.11794871794871795,0.2131979695431472,0.23834196891191708,0.48422926292421276,0.27301493751240313,0.4379425800377028,0.37037431332213955,0.3548781666668498,0.387731686675564
MOUSE_GPX6_level20_chainA,0.12307692307692308,0.2182741116751269,0.24352331606217617,0.4837521705832586,0.27256253158505134,0.4321766191612748,0.36550851482342617,0.350161931051058,0.382615688345253
HUMAN_GPX6_level01_chainA,0.26666666666666666,0.04060913705583756,0.11398963730569948,0.5347310045493459,0.30217731885319854,0.34753881951500215,0.5141758394503476,0.45092708713926993,0.4375472487015399
HUMAN_GPX6_level02_chainA,0.26153846153846155,0.04568527918781726,0.11398963730569948,0.5331576110647182,0.30152182378479936,0.35097476154717017,0.5100639685177577,0.4514869042094443,0.437508544758124
HUMAN_GPX6_level03_chainA,0.2564102564102564,0.050761421319796954,0.11917098445595854,0.5315847488489837,0.3001989000178395,0.3540827613882749,0.5055947838966008,0.4475363727616679,0.43573797268218123
HUMAN_GPX6_level04_chainA,0.2512820512820513,0.05583756345177665,0.12435233160621761,0.530012417902142,0.2988750368963326,0.3571909972667394,0.5011315694505547,0.4435915774989386,0.4339713814054109
HUMAN_GPX6_level05_chainA,0.24615384615384617,0.06091370558375635,0.12953367875647667,0.5284406182241936,0.2975502344202784,0.36029947356064806,0.4966743076879991,0.43965248318756156,0.4322087548120696
HUMAN_GPX6_level06_chainA,0.24102564102564103,0.06598984771573604,0.13471502590673576,0.5268693498151377,0.2962244925896771,0.3634081947120992,0.49222298101033535,0.4357190547352511,0.43045007681922853
HUMAN_GPX6_level07_chainA,0.2358974358974359,0.07106598984771574,0.13989637305699482,0.5252986126749746,0.2948978114045288,0.3665171652282622,0.4877775717144489,0.4317912571930838,0.42869533137859833
HUMAN_GPX6_level08_chainA,0.23076923076923078,0.07614213197969544,0.14507772020725387,0.5237284068037047,0.2935701908648332,0.36962638968245226,0.48333806199516904,0.427869055757384,0.42694450247833515
HUMAN_GPX6_level09_chainA,0.22564102564102564,0.08121827411167512,0.13989637305699482,0.5221587322013274,0.2939776032154625,0.37358561996679895,0.4798121247115532,0.4325804348126106,0.42865939316365426
HUMAN_GPX6_level10_chainA,0.2205128205128205,0.08629441624365482,0.14507772020725387,0.5205895888678432,0.29271010297541805,0.37672475735838973,0.47541150920647196,0.42860718051045255,0.4269144823584381
HUMAN_GPX6_level11_chainA,0.2205128205128205,0.09137055837563451,0.15025906735751296,0.5201386625363222,0.292086959539684,0.3760263820532901,0.4703960258259951,0.4240325863436716,0.42348499807431894
HUMAN_GPX6_level12_chainA,0.2153846153846154,0.09644670050761421,0.15544041450777202,0.5185442832527867,0.29080239715151346,0.37913553388133914,0.4660172017809144,0.42008143373187723,0.4217447231313769
HUMAN_GPX6_level13_chainA,0.2153846153846154,0.10152284263959391,0.15025906735751296,0.5180418224833775,0.29200697839098416,0.3792879039661041,0.4619944688107084,0.4240428219391378,0.42177506490531674
HUMAN_GPX6_level14_chainA,0.21025641025641026,0.1065989847715736,0.14507772020725387,0.5164222072497908,0.2925653241170501,0.383280753716041,0.4585929742272066,0.42861745308870713,0.4234970603439849
HUMAN_GPX6_level15_chainA,0.20512820512820512,0.1116751269035533,0.15025906735751296,0.514803123285097,0.2913867582436968,0.38641934040288867,0.4542950596378116,0.42457021635017367,0.421761538796958
HUMAN_GPX6_level16_chainA,0.2,0.116751269035533,0.14507772020725387,0.5131845705892963,0.292005224269414,0.3904451324988218,0.4509249708344818,0.4290938564073372,0.42348798658021364
HUMAN_GPX6_level17_chainA,0.19487179487179487,0.116751269035533,0.13989637305699482,0.5121720788075738,0.2922731482369338,0.39482629016019866,0.451931132551902,0.43398498249338985,0.42691413506849685
HUMAN_GPX6_level18_chainA,0.18974358974358974,0.1218274111675127,0.14507772020725387,0.5105803558685026,0.2912008856066365,0.3980406015859289,0.44767196884961336,0.42984416198948994,0.4251855774750107
HUMAN_GPX6_level19_chainA,0.18461538461538463,0.12690355329949238,0.13989637305699482,0.5089891641983246,0.2918636558666638,0.40211654982074563,0.444302219159535,0.43433573841447176,0.42691816913158415
